Day,shervin_notes,shervin_rating_old,shervin_rating,caitlin_notes,caitlin_rating,name,origin,process,varietal,varietal_type,agtron,onyx_notes,taster_notes,onyx_box_price,onyx_green_price,cup_score
1,"Durian, guava, white tea, cantaloupe rind. ",7.5,8.5,"Durian, guava, white tea, cantaloupe rind. ",6,Framily,Ethiopia,Washed,Landrace,single,70.4,Baked Apple | Earl Grey | Baker's Chocolate | Berries,"Loads of florals, juicy stonefruit",25,5.2,87
2,"Milk chocolate (very milky), smores",5.5,5.5,"Milk chocolate (very milky), smores",5.5,Mexico José Arguello Natural,Mexico,Natural,Bourbon,single,76,Strawberry | Wine | Dark Chocolate | Lime,"Sweet fruit up front, Rich chocolate, nutty base",NA,6.25,86.5
3,"Green apple, bubble gum, Matcha green tea, lemongrass",6.5,7,"Green apple, bubble gum, Matcha green tea, lemongrass",7.5,Ethiopia Habtamu Fekadu Aga,Ethiopia,Washed,"Kurume, Dega, Wolisho",mixed,73.6,Jasmine | Apricot | Honey | Tea-Like,"Sweet, tea like flavors, stonefruit",24,4,87
4,"Bergamot, black tea, whole roasted cocao bean, prune. Dry mouthfeel. Wet fingerfeel.",6,6.5,Indistinct nuts and spices with a hint of vanilla and the ghost of apple,6,Kenya Gichathaini AA,Kenya,Washed,"SL28, SL34, Ruiti 11, Batian",mixed,75.6,Grapefruit | Plum | Sugar Cane | Juicy,"Citrus, Grapefruit, black currant, blackberries",NA,5.18,88
5,"Roasted senmacha tea, raspberry, sorrel aka tasty clover",7,8,"Vegetal notes like a pile of Alfalfa or lemongrass, lemon rind, hint of tart cherry",5,Guatemala El Socorro Maracaturra,Guatemala,Washed,Maracaturra,single,77.6,Chamomile | Raw Sugar | Apple | White Flower,"Sweet cherry, Malic Acidity, Red Apple, Honeysuckle, Hazelnut finish",26,6.5,87
6,"Plum, crisp green apple, tomato, nutmeg, agave. Sweet and savory with a hint of spice",6.25,6.5,"Sour fermented grapes at the start, cools to chocolate covered strawberries or maybe strawberries and cream, sweet fruit",6,El Salvador Santa Rosa Honey,El Salvador,Honey,Pacamarra,single,75,Concord Grape | Demerara Sugar | Rose | Dark Chocolate,"Yellow Pineapple, orange peach, red cherry, strawberry",24,6.5,87.2
7,"Black cherry, rose, berry compote. Tastes roasty and red-fruity",6,6.5,"Candy cane, mint,vegetal",4,Ethiopia Bekele Kachara Natural,Ethiopia,Natural,Landrace,single,74,Mixed Berries | Jasmine | Plum | Pineapple,"Floral and sweet aroma. Strawberry, peach jam, black tea",NA,,
8,"Lilac, Hibiscus, raspberry, kumquat. Sweet floral to start, moving into tart as it cooled",7,8,"Sweet fruit, maybe a honey peach. Bright mixed berry notes as it cools.",8,Costa Rica Las Lajas Natural,Costa Rica,Natural,"Catuai, Caturra, Bourbon",mixed,71.6,Concord Grape | Vanilla | Pomegranate | 60% Dark Chocolate,"Juicy, Black Currant, dark cherry, red berries. Floral berry",26,6.1,87
9,"Cherry, Honeysuckle, white grape, meringue",6.75,7.5,"Molasses, sweet corn, papaya",7,Colombia Jairo Arcila Pink Bourbon,Colombia,Washed,Pink Bourbon,single,73,Blood Orange | Confectioners Sugar | White Grape | Citrus,"Beautiful notes, acidities",NA,7.25,88
10,"Cream, Milk chocolate, white button mushroom, hint of hazelnut. Has a sweetness like full fat cream",6,6.5,"Black tea but like Lipton's bottom shelf tea, chocolate and hints of an extremely dried fruit.  ",4,Ethiopia Chelbesa,Ethiopia,Washed,Landrace,single,73.5,Apricot | Honeysuckle | Earl Grey | Cocoa,"Sweet, honey, peach, floral, citrus",,4.95,87
11,"Candied pecan, cantaloupe, apricot, lemon",6.5,7,"Cacao, tea but a nice floral herbal tea,  orange blossom",7.5,Colombia Aponte Village Honey,Colombia,Honey,Mixed,mixed,74,Dried Cherry | Raw Honey | Papaya | Silky,"gentle sweetness, acidity, orchard fruit, tea like",24,4.4,86
12,"Freeze dried strawberry, dried fig, green grape. More smell than taste on a lot of the notes",6,6.5,"Cream of wheat with black pepper, strawberry frosted shredded wheat, hint of swiss miss hot chocolate with the marshmallows ",6.5,Mexico Puebla Puhuac,Mexico,,"Caturra, Garnica, Costa Rica, Marsellesa",mixed,74.2,Milk Chocolate | Dried Plum | Lime | Allspice,"bright cranberry, walnut, vanilla, clove",NA,,
13,"Apricot, Cranberry, Lemon. Stonefruit to start, cooling to a mouth puckering sour.",,6,"Roasted holiday spices: cloves, allspice, cinnamon. Very dry with hints of dried prune.",5,Krampus,Kenya,washed,"SL28, SL34, Ruiru 11",mixed,64.5,Brûléed Grapefruit | Chocolate Cake | Tobacco | Viscous,"Brûléed Grapefruit, Chocolate Cake, viscous",25,4.42,86.25
14,"Pineapple, lemon tart, bergamot. Chocolate and cherry smell but not so much taste",,6.5,"Bright and fruity smells, strong notes of pineapple, fermented apple, pomegranate, hint of chocolate",8,Guatemala Finca Pampojila Natural,Guatemala,Natural,Caturra,single,76.6,Green Apple | Jasmine | Pineapple | Cacao,"Sweet, cherry, plum, chocolate of low bitterness",24,4.9,87
15,"Clove, molasses, chocolate covered strawberries, date, hibiscus. Started with christmas spice, which completely disappeared for a harmonious sweet and sour",,8.5,"Starts off with chocolate, cools to honey and honeysuckle, peach and cantaloupe.",8.5,Colombia Diego Horta Natural,Colombia,Natural,Mixed,mixed,70.5,Raspberry | Caramel | Milk Chocolate | Red Fruits,"Tropical fruits, berries, chocolate",NA,5.9,87
16,"Peach, banana, mango, pineapple, honey. Yellow fruit. Chatter: Really liked this, whereas most fruit bombs are berry or red, I got tons of yellow fruit from this one. Really sweet and juicy in a way I haven't had before",,9,"Roasted chestnut or roasted yerba mate when hot, cools to blueberry and rose, possibly black cherry",8,El Salvador Santa Rosa,El Salvador,Natural,Pacamara,single,78,Rose | White Grape | Fig | Black Tea,"Nutty, stone fruit",26,6.25,87.2
17,"kiwi, hibiscus, green grape, mandarin orange as it cooled. Almond on the nose but not really taste",,8,"Blueberry scent, extremely stong English breakfast tea with a few rose petals",6,Colombia Santa Barbara Gesha Honey,Colombia,Honey,Gesha,single,76,White Flower | Honey | Orange | Berries,"magnolia, cherry, mango, macadamia nuts, dark chocolate",NA,7,87
18,"Earl grey, jasmine, apricot, prune",,6.5,"Fruit salad: Strawberry and red apple, tart fruit like passionfruit or kiwi, white fruit like white peach or honeydew. ",7.5,Ethiopia Shakiso Female-Produced Natural,Ethiopia,,Landrace,single,75,Pineapple | Strawberry | Jasmine | Sweet Tea,"jasmine, strawberry, super floral, pineapple",NA,5.1,87
19,"Chocolate, apple, honeysuckle, apricot, canteloupe. Chatter: Really balanced and harmonious flavors and a really pleasant mouthfeel. ",,8.5,"Peanut butter chocolate cups, white floral, white peach, really ripe papaya",6,Guatemala El Socorro,Guatemala,,Red Bourbon?,single,79,Jasmine | Black Tea | Raisin | Melon,"citric acidity, silky body, orange blossom, dried fruit like blueberries and apricots, honey, molasses",NA,,
20,"Passion fruit, guava, pineapple, strawberry, white tea, honeydew. Chatter: I feel like I discovered something new on every sip. Sweet and delicious tropical fruit bomb.",,9.25,"Rose petals and lavendar, strong mix of tropical fruits especially pineapple, watermelon, sweet citrus like mandarin orange, earl grey",9,Costa Rica Finca Carrizal Millenial,Costa Rica,Natural,Millenial,single,69.8,Strawberry | Cacao | Wine | Round,"Honey, umeboshi plum, peaches, red grapes",NA,6.3,
21,"clove, cardamom, roasted barley tea, raisin. Chatter: A lot of spice to start that was hard to find later. Went more roasty and a dried fruit kind of sweet tart",,6.5,"Chocolate and cascara, white tea, white pepper, dark plum and black cherry",7,Ethiopia Benti Nenqa,Ethiopia,Washed,Landrace,single,76,Apple | Dried Apricot | Jasmine | Cardamom,"Delicate flowers, Yellow stone fruits, canned pineapple, light brown sugar",NA,5,
22,"Strawberries and cream, bubble gum, white cherry, pineapple. Chatter: Started with a sugary sweet, going to super tart. We're traveling now and have a new setup, new grinder, different dripper, and no heated mug. New grinder creates a surprisingly different flavor profile",,8.75,"Green apple, pineapple, strawberry",6.5,Kenya Muthingini AA,Kenya,washed,"SL28, SL34, Batian",mixed,76,Valencia Orange | Raw Sugar | Peach | Sparkling,"citric notes, almost sparkling acidity",24,4.6,87
23,"caramel, vanilla, banana split",,6,"Green, sweet and sour, strawberries",3,Honduras Montaña Congolón,Honduras,Washed,"Bourbon, Caturra, Catuai",mixed,73.5,Yellow Pear | Brown Sugar | Almond | Milk Chocolate,"little bit fruity, little bit floral, little bit herbal, very very sweet",22,3.8,86
24,"Strawberries and cream, honeysuckle, white chocolate, white cherry, green apple",,9,"Honey, strong floral including honeysuckle and jasmine, tea, pineapple, sweet red fruit. ",9,Colombia Sebastian Ramirez Gesha,Colombia,Honey,Gesha,single,77,Jasmine | Pineapple | Lime | Manuka Honey,"lemon, jasmine, mandarin",NA,19.5,89
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Median,,,,,,,,,,,,,,24,5.2,87
Mean,,,,,,,,,,,,,,24.54545455,6.147619048,85.2075
