Day,shervin_notes,shervin_rating,caitlin_notes,caitlin_rating,brew_method,Filter type,grind_size_µm,final_drain_time,day,bean,origin,process,varietal,onyx_box_price,onyx_green_price,cup_score,agtron,onyx_notes,instagram_notes,ash_notes,ash_rating,kelly_notes,kelly_rating
1,"Honeycrisp apple, strawberry, honey, vanilla, green grape. Sweet and full bodied",8,"Thanksgiving leftovers - Cinnamon spice, mulled wine, buttery, chocolate, roasted chestnuts, molasses, tart red fruit like cranberries comes out as it cools",8,"Orea wave filter, fast bottom",Flat,682,3:40,1,Colombia Aponte Village Honey,"Nariño, Colombia",Red Honey,Mixed (field blend),$24.00,$5.17,87,127,"Dried cherry, raw honey, papaya, silky","Red. Red apple, red cherry, red stonefruit, malic acidity, apple cider",,7,,
2,"Hazelnut on the nose. Grapefruit peel, nutmeg, bergamot. Started off choclatey/nutty then moved to floral/citrus. Felt like it skipped the fruit. Puckering mouthfeel",5.5,"Peanut butter and chocolate to start, black tea, tart cherry or pomegranate as it cools",6,"Hario, sibarist filter",Cone,514,4:00,2,Shakiso Female‑Produced Natural,"Guji, Ethiopia",Natural,Landrace,$30.00,$5.10,87,75,"cranberry, vanilla, grapefruit, sweet tea","cranberry, toasted vanilla, tart","Vanilla, black tea, pomegranate.",6,Strong peanut butter at the start,6
3,"Sweet floral scent, and slightly pistachio. Red fruits (strawberry, sour cherry), orange blossom, agave, sweet tea  ",7.5,"Florals like rose, toasted coconut, strawberry. Mild overall, nothing too clear or strong.",5,"Orea, Sibarist Filter, fast bottom",Flat,706,4:40,3,Kenya Gakuyu‑Ini AA,"Kirinyaga, Kenya",Washed,"SL28, SL34, Ruiru 11",$24.00,$5.01,86,76.7,"Gala Apple, Brown Sugar, Almond, Juicy","brown sugar, apple cinnamon, citrusy","Lemon, blackberry, walnut",6.66,"tobacco, having a hard time placing other notes. More bitter and acidic.",6
4,"Smell: Burnt sugar and clove. Taste: [None of these very distinct] vegetale Green bell pepper, pineapple, lime, clove  ",5,"Pistachio icecream, honeysuckle, passionfruit. Overall very indistinct.",4,"Orea, Sibarist Filter, fast bottom",Flat,530,3:10,4,Uganda Long Miles Lunar Station Natural,"Rwenzori Mountains, Uganda",Natural,Mixed,$26.00,$5.24,87,126,"Rose, cranberry, milk chocolate, plum","Stonefruit, juicy, flavorful, floral on the nose, grapefruit acidity","Floral, yummy, rose, peach, chocolate",8,,
5,"Smell: Holiday spice. Taste: Chai tea, star anise, hibiscus, green apple. As it cooled sips became more tart/bright at first with a spice aftertaste ",5,"Pineapple, Green Apple, Jolly Rancher, Juicy White Peach or Necatrine",8.5,"Orea, Sibarist Filter, fast bottom",Flat,802,3:20,5,Framily,"Guji, Ethiopia",Washed,Landrace,$26.00,$5.04,87,119,"Cherry, milk chocolate, concord grape, honey",n/a,"Tealike, pears",6.28319,,
6,"Smell: Gingerbread. Taste: Molasses, gingerbread, chocolate liquor, orange zest. Normally not tasting notes I am into, but I enjoyed the cup",6,"Fruity first smell/ taste of prune or blackberry, hint of a spice, dark or roasted notes of cocoa and tobacco. Hint of a floral smell, but hard to pull out of the roastedness",4,"Orea, Kalita filter, fast bottom",Flat,490,2:45,6,Costa Rica Las Lajas Natural,"Sabanilla de Alajuela, Costa Rica",Natural,"Catuai, Caturra, Bourbon",$27.00,$6.95,87,124.5,"Cherry, Milk Chocolate, Concord Grape, Honey","milk chocolate, acidity from red and purple fruits, cherry, grape",Berrier! Rasberries & chocolate,8.5,"Berry, something bright, mouthfeel much heavier",
7,"Smell: Not distrinct, but a sweet red fruit Taste: strawberry, raspberry, hibiscus, cucumber. Sweet and nice body. Notes were more subtle, and the cup was harmonious",6.5,"Warm cocoa and marshmallows, vanilla, black tea, bergamot, guava",6,"Hario, sibarist filter",Cone,730,4:50,7,Kamogo Station,"Mt. Elgon, Uganda",Washed,SL34,,,,,"Plum, Black Tea, Raisin, Orange","apricots, stewed fruits, orange marmalade, milk chocolate",,,,
8,"Smell: Lime zest and stone fruit. Taste: Apricot, roobios, lime zest, green apple, meringue. Nicely harmonious (though a little less so than yesterdays)",7,"Cherry, peanut butter, sweet berry",7,"Hario, sibarist filter",Cone,802,4:50,8,Hambela Alaka Natural,"Guji, Ethiopia",Natural,Landrace,$24.00,$5.14,86.5,125,"Jasmine, Apple Butter, Apricot, Toasted Coconut","nuttiness, acidity, fruitiness, sharpness","Dried stonefruit, apricotty, and floral aftertaste - rose",7.57,"green apple, lemon",7
9,"Smell: Cacao (like the drink). Taste: Yuzu, rosehip, cranberry, hazelnut. A bit tart without fruit sweetness, possibly underextraced.",6,"Green apple, citrus, very tart",6,"Hario, sibarist filter",Cone,730,3:15,9,Santa Rosa,"Chalatenango, El Salvador",Washed,Pacamara,$27.00,$7.00,87,130,"Rose, White Grape, Fig, Black Tea",sweet,"Floral, rosey?, a little sweet, raisins",6,"Green apple, lime, I agree on the tart",6
10,"Smell: Sweet baked goods. Apple pie? Taste: Sweet. Apple or pecan pie, baked pear, cranberry, buttery. Stewed/baked fruits with a hint of spice, and buttery.",7,"Apple, chamomile tea, roasty brown spice",3,"Orea, Sibarist Filter, fast bottom",Flat,610,3:50,10,El Socorro Purpuracea,"Palencia, Guatemala",Washed,Pacamara,,,,,"Almond, Brown Sugar, Floral, Red Apple","black currant, juicy stone fruit, milk chocolate, cacao nut finish",,,,
11,"Smell: Honeysuckle, sweet florals. Taste: Honey, blackberry, kumquat, white tea. Smooth and silky",7.5,"Rose, lemongrass, brown sugar, sweet dried fruit, touch of lemon",7,"Hario, sibarist filter. Grind 6.2. Touch underextracted",Cone,610,3:35,11,Edward Sandoval Chiroso,"Tolima, Colombia",Washed,Chiroso,$24.00,$5.49,87,100.3,"Pear, Oolong Tea, Raw Sugar, Minerality",,"Lemon, chocolate, tea",7,,8
12,"Smell: Holiday spice and raisin Taste: Dried apricot, blood orange, cranberry, vanilla. Tart with a bitterness. More interesting than good",6.5,"Lime, Lipton black tea, malty and bitter or tannic, savory broth",4,"Hario, sibarist filter. Grind 6.4",Cone,730,3:15,2,Mazateca Mujeres,"Sierra Mazateca, Oaxaca",Washed,"Typica, Bourbon",,,,,"Orange, Fig, Milk Chocolate, Chocolate Bean","Cherry, chocolate, marzipan, red fruits, panela","raspberries, chocolate, almonds",7.5,"caramel, apple, lemon ",7
13,"Smell: Roasted chestnut, spice Taste: Black tea, cardamom, lemon, cherry",5,"Cherry cordial, pomegranate syrup, earthy mushroom or brothy tea, nectarine or stonefruit as it cools",7.5,"Orea, Sibarist Filter, fast bottom. Grind 6.3. Dripped through faster than onyx guide",Flat,682,3:10,13,Krampus,"Kirinyaga, Kenya",Washed,"SL28, SL34, Ruiru 11",$26.00,$5.17,87.5,104,"Brûléed Grapefruit, Chocolate Cake, Tobacco, Viscous",n/a,,,"chocolate, red currant, tobacco ",8
14,"Smell: Cherry + toasty Taste: Cherry cordial, freeze dried strawberry, hibiscus, cranberry compote. Started off a little boozy, but went more into floral. Each sip starts sweet and ends with a bright acidity",6.5,"Red plum, starfruit, faint honey and grapefruit",7,"Hario, sibarist filter. Grind 6.1. ",Cone,646,3:25,14,Santa Rosa Honey,"Chalatenango, El Salvador",Red Honey,Pacamara,$27.00,$7.00,87,125,"Rose, Concord Grape, Milk Chocolate, Pink Grapefruit","sweet, molasses, dry plum, dark chocolate","caramel, sticky, beans smelled good opening the bag",7.5,"Floral, strawberry, peach",7.5
15,"Smell: Unusually faint smell. Bananas and spice. Taste: Cantaloupe, Key lime, Nutmeg, Kumquat. Sweet and lightly fruity, very harmonious. Not surprising in any direction, but just a really nice cup",8,"Cinnamon, anise, banana pudding, chocolate cream",6.5,"Hario, sibarist filter. Grind 6.3. ",Cone,610,3:45,15,Lalesa Ephtah Site Slow Dry Natural,"Gedeb, Ethiopia",Natural,Landrace,,,,,"Strawberry, Sweet Lemon, Honey, Grapefruit","strawberry, sweet lemon, sweet acidity",,,"chocolate, caramel cherry",7
16,"Smell: Honeysuckle, orange marmalade. Taste: Orange blossom honey, Orange marmalade, rainier cherry, lychee. Sweet and floral heavy, kind of like a flowery honey. Well balanced and harmonious",9,"Bitter dark chocolate, blueberry, rose",5.5,"Hario, sibarist filter. Grind 6.4. Touch underextracted",Cone,620,3:45,16,Hacienda Barbara Catuai Natural,"Boquete, Panama",Natural,Catuai,,,,,"Blackberry Compote, Dark Chocolate, Raisin, Spice","fruity, berries, dark chocolate, spices","Apple, raisin, caramel, nutmeg",8.5,"cranberry, lemon, milk chocolate ",6
17,"Smell: Tomato sauce Taste: Blueberry, tomato, worcestershire sauce, raisin. Tangy savory, like a tomato. Felt like it was a developed flavor",8.5,"Sweet and juicy tropical fruit like papaya or mango, grilled pineapple, toasted yerba mate, carmelized sugar",8.5,"Orea, Sibarist Filter, fast bottom. Grind 6.4 was good, 6.6 dripped too fast",Flat,802,3:45,17,Kamunyaka AA,"Kirinyaga, Kenya",Washed,"SL28, SL34, Ruiru 11",,,,,"Apple, Green Grape, Mango, Melon","complex sweetness, green apples, plums, grapes, mango, passionfruit, melon",,,"apricot, green apple, milk chocolate",6
18,"Smell: Burnt sugar, candied orange Taste: Prune, pineapple, green grape, honeysuckle. Each sip shifts from sweet to crisp tart",7.5,"Nutty, tannic, dark chocolate, raspberry, cherry, lime",7.5,"Hario, sibarist filter. Grind 6.3.",Cone,682,4:00,18,Bombe Natural,"Bensa, Ethiopia",Natural,Landrace,$23.00,$4.90,87.5,,"Strawberry, Crisp Apple, Sugar Cane, Lavender","sweetness, acidity, florals",,,,
19,"Smell: Freshly baked bread, mixed berry Taste: Boysenberry, concord grape, lavender, key lime pie. Sweet to start, turned more tart as it cooled",8.5,"Nutty and chocolate, tea, Lipton again but not as strong as before, lemongrass",5,"Hario, sibarist filter. Grind 6.0.",Cone,526,4:10,19,John Diaz Pink Bourbon,"Huila, Colombia",Washed,Pink Bourbon,,,,,"Lime, Cacao Nib, Milk Chocolate, Round","Cacao nibs, milk chocolate, really sweet, almost floral, lime zest",,,"cranberry, camomile, toast",8
20,"Smell: Roasted chestnut, roasted cacao. Taste: Persimmon, raspberry, raisin, chocolate",6.5,"Bright red fruit like cranberry or sour cherry, bittersweet chocolate, lemon zest",7,"Orea, Sibarist Filter, fast bottom. Grind 6.2. Touch under",Flat,562,2:50,20,Sagastume Family Natural,"Santa Barbara, Honduras",Natural,Parainema,$24.00,$5.10,86.5,73.5,"Sweet Plantain, Blackberry, Backstrap Molasses, Cacao Nib",Yellow plum and grape,,,"caramel, dark chocolate, cranberry",8
21,"Smell: Strawberry candy Taste: Strawberry, lychee, fruit tea, cherry compote. More smell than taste, especially in sweetness",7,"Strong blueberry muffin smell and taste, sweet, nutmeg or ginger, violet",8.5,"Orea, Sibarist Filter, fast bottom. Grind 6.2. Dripped through fast",Flat,810,3:00,21,Jairo Arcila Lychee,"Quindío, Colombia",Washed,Castillo,$27.00,$8.00,87,78.2,"Lychee, Lime Rind, Pineapple, Rose","Lychee co-ferment, sweet, acidity, chamomile",,,,
22,,,,,,Flat,490,3:00,,,,,,,,,,,,,,,
23,,,,,,Cone,646,3:35,,,,,,,,,,,,,,,
24,,,,,,Cone,562,3:10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Median,,,,,,,,,,,,,,$26.00,$5.17,87,,,,,,,
Mean,,,,,,,,,,,,,,$25.64,$5.74,86.92857143,,,,,,,